add_id,rooms,address,square_m2,parking,price,repair,metro,time_to_metro,time_on_foot,flat_floor,house_floors,house_type,balcony,windows,bathroom,with_children/animals,name_of_the_RC,house_series,ceiling_height_m,elevator,garbage_chute,furniture_rooms,furniture_kitchen,the_internet,tv
271271157,4,10682,200.0,5,500000.0,1,237,9,True,5,16,5,0,3,2,1,760,363,3.0,2,0,1,1,1,1
271634126,4,10682,198.0,5,500000.0,1,237,8,True,5,16,4,0,2,1,0,759,363,3.5,2,1,1,1,1,1
271173086,4,10682,200.0,5,500000.0,2,237,7,True,5,16,9,0,2,1,0,759,363,3.2,1,2,1,1,1,1
272197456,4,6925,170.0,5,400000.0,2,237,3,True,5,6,9,0,2,1,2,1083,363,3.2,1,2,1,1,1,1
273614615,2,10679,58.0,3,225000.0,2,12,7,True,12,26,6,0,2,1,3,147,363,3.9,2,0,1,1,1,1
274837728,3,58,92.0,3,470000.0,1,237,5,True,3,7,9,0,3,2,3,137,363,2.98,3,2,1,1,0,1
273643908,5,6927,213.0,2,350000.0,2,12,4,True,4,5,9,0,2,1,1,1083,363,3.2,1,2,1,1,1,1
274475342,3,9070,98.0,5,250000.0,2,237,3,True,2,4,5,0,0,1,1,1083,363,3.2,1,1,1,1,1,0
273973191,3,4062,120.0,4,130000.0,2,237,9,True,5,10,7,0,1,1,2,1083,363,3.0,1,1,0,1,1,1
272900409,4,9067,90.0,4,210000.0,2,12,10,True,2,7,7,1,2,1,0,1083,363,310.0,1,0,1,1,1,1
271036964,4,3574,170.0,5,290000.0,2,237,5,True,6,7,9,0,2,1,0,1083,363,3.2,1,2,1,1,1,1
273999490,3,4064,80.0,3,100000.0,2,237,2,True,4,8,3,1,2,1,3,1083,363,2.98,1,2,1,1,1,1
274017037,3,1264,100.0,3,200000.0,1,237,8,True,2,4,3,0,0,1,1,1083,363,2.98,1,2,1,1,1,1
273231024,5,5983,180.0,3,500000.0,1,237,9,True,6,8,5,2,1,1,1,1083,363,2.98,1,2,1,1,1,1
274839211,5,6140,222.2,5,450000.0,2,109,5,True,5,9,5,1,3,1,3,995,363,2.98,1,2,1,1,1,1
274767901,5,6140,225.0,3,450000.0,1,109,6,True,5,9,5,0,3,2,3,995,363,2.98,1,0,0,0,0,0
274995950,2,10679,30.0,3,120000.0,2,12,10,True,19,26,9,0,1,1,1,147,363,2.98,3,2,1,1,1,1
274945807,5,6140,222.0,3,450000.0,1,12,5,True,5,9,9,1,3,2,1,994,363,2.98,3,2,1,1,1,1
272911145,5,4715,150.0,2,180000.0,2,5,12,True,4,7,3,1,3,1,3,1083,363,2.98,1,2,1,1,1,1
274748017,5,6141,201.0,3,190000.0,2,109,6,True,3,3,9,0,2,1,1,1083,363,3.2,1,2,0,1,1,1
273941734,2,10679,64.0,3,205000.0,2,12,9,True,12,26,9,0,1,1,1,148,363,2.98,3,1,1,1,1,1
274493570,3,6931,112.0,5,230000.0,2,109,5,True,2,7,9,1,2,1,0,1083,363,3.2,1,2,1,1,1,1
274849101,4,3563,190.0,3,590000.0,1,237,5,True,4,5,9,0,3,2,3,1083,363,2.98,3,2,1,1,0,1
223918678,5,6140,255.6,3,850000.0,2,12,8,True,8,9,5,0,0,1,1,994,363,2.98,3,2,1,1,1,1
274391259,5,6141,186.0,4,190000.0,2,12,5,True,3,3,10,0,2,1,1,1083,363,3.3,3,0,1,1,1,1
272945376,3,1820,100.0,2,200000.0,2,12,5,True,3,8,9,0,2,1,1,881,363,3.2,1,2,1,1,1,1
272612966,5,4715,150.0,3,200000.0,2,12,11,True,4,7,9,1,0,1,3,1083,363,2.98,1,2,1,1,1,1
271568490,5,6924,140.0,3,300000.0,1,237,7,True,2,7,9,0,1,2,0,1083,363,2.98,1,2,1,1,1,1
264664760,3,10685,132.8,3,400000.0,2,12,15,True,5,13,5,0,3,1,1,443,363,2.98,3,2,1,1,1,1
228923308,5,6140,256.0,5,750000.0,1,12,10,True,8,10,4,0,2,1,1,994,363,3.0,2,0,1,1,1,1
267489303,6,6929,380.0,4,870000.0,3,12,5,True,3,6,10,0,2,1,1,1083,363,4.0,1,0,0,1,1,1
273353104,3,10685,112.0,5,350000.0,4,237,7,True,3,13,4,0,3,0,3,443,363,3.15,3,0,1,1,1,1
273353103,2,10685,91.0,5,400000.0,4,237,7,True,10,13,4,0,3,0,3,443,363,3.15,3,0,1,1,1,1
268321690,3,10685,135.0,5,400000.0,1,12,11,True,5,13,4,0,2,1,1,444,363,2.98,2,2,1,1,0,1
269496185,4,3563,190.0,5,590000.0,1,237,3,True,4,5,4,0,2,1,0,1083,363,3.2,2,1,1,1,1,1
272188531,2,10679,44.0,3,135000.0,4,12,15,True,21,26,9,0,3,0,3,148,363,4.15,3,0,1,1,1,1
267110043,2,58,100.0,3,320000.0,4,237,7,True,5,7,4,1,1,0,0,138,363,3.0,2,0,1,1,1,1
